,occupancyRate,occupancyRate(max),visits,visits(max),visitLength,visitLength(max),visitIncome,visitIncome(max),visitNightRate,visitNightRate(max),occupiedDays,occupiedDays(max),availableDays,availableDays(max),occupiedListings,availableListings,month,InterZone,ListingOpenCalendar_over0,ListingOpenCalendar_over60,ListingOpenCalendar_over90,ListingOpenCalendar_over120,totalListings_observed
0,0.1466666666666666,0.5333333333333333,3.8,16.0,1.1578947368421053,2.0,94.63157894736842,1018.0,81.72727272727273,509.0,4.4,16.0,30.0,30.0,3.0,5.0,2021-06,S02001576,4,3,3,3,31
1,0.1419354838709677,0.5483870967741935,1.2,4.0,3.6666666666666665,17.0,129.33333333333334,357.0,35.27272727272727,319.0,4.4,17.0,31.0,31.0,3.0,5.0,2021-07,S02001576,2,2,2,2,31
2,0.2002389486260454,0.3548387096774194,4.0,9.0,1.5,7.0,196.0,525.0,130.66666666666666,302.0,6.0,11.0,30.2,31.0,4.0,5.0,2021-08,S02001576,2,2,2,2,31
3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,29.8,30.0,0.0,5.0,2021-09,S02001576,2,1,1,1,31
4,0.0193548387096774,0.0967741935483871,0.2,1.0,3.0,3.0,225.0,225.0,75.0,75.0,0.6,3.0,31.0,31.0,1.0,5.0,2021-10,S02001576,2,1,1,1,31
5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,18.11111111111111,30.0,0.0,9.0,2021-11,S02001576,6,5,5,5,31
6,0.0261120401337792,0.1304347826086956,0.625,3.0,1.0,1.0,109.2,168.0,109.2,168.0,0.625,3.0,27.875,31.0,3.0,8.0,2021-12,S02001576,7,7,6,6,31
7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,30.875,31.0,0.0,8.0,2022-01,S02001576,8,8,8,7,31
8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,27.625,28.0,0.0,8.0,2022-02,S02001576,7,7,7,7,31
9,0.0120967741935483,0.064516129032258,0.375,2.0,1.0,1.0,171.66666666666666,280.0,171.66666666666666,280.0,0.375,2.0,31.0,31.0,2.0,8.0,2022-03,S02001576,7,7,7,7,31
10,0.088095238095238,0.6333333333333333,0.625,4.0,4.2,10.0,826.4,2175.0,196.7619047619048,255.0,2.625,19.0,25.375,30.0,2.0,8.0,2022-04,S02001576,7,7,6,6,31
11,0.0852915276232851,0.5833333333333334,1.125,6.0,1.8888888888888888,4.0,77.66666666666667,160.0,41.11764705882353,160.0,2.125,14.0,28.875,31.0,3.0,8.0,2022-05,S02001576,7,6,6,6,31
12,0.1095238095238095,0.5333333333333333,1.2857142857142858,5.0,2.555555555555556,7.0,115.55555555555556,320.0,45.21739130434783,320.0,3.2857142857142856,16.0,29.714285714285715,30.0,4.0,7.0,2022-06,S02001576,7,6,6,6,31
13,0.2583333333333333,0.6333333333333333,1.75,5.0,4.428571428571429,17.0,97.14285714285714,340.0,21.93548387096774,25.0,7.75,19.0,30.0,30.0,2.0,4.0,2021-06,S02001577,6,6,5,5,14
