,occupancyRate,occupancyRate(max),visits,visits(max),visitLength,visitLength(max),visitIncome,visitIncome(max),visitNightRate,visitNightRate(max),occupiedDays,occupiedDays(max),availableDays,availableDays(max),occupiedListings,availableListings,month,InterZone,ListingOpenCalendar_over0,ListingOpenCalendar_over60,ListingOpenCalendar_over90,ListingOpenCalendar_over120,totalListings_observed
0,0.5,1.0,0.5,1.0,30.0,30.0,600.0,600.0,20.0,20.0,15.0,30.0,30.0,30.0,1.0,2.0,2021-06,S02001847,2,2,2,2,8.0
1,0.5,1.0,0.5,1.0,31.0,31.0,620.0,620.0,20.0,20.0,15.5,31.0,31.0,31.0,1.0,2.0,2021-07,S02001847,2,2,2,2,8.0
2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,31.0,31.0,0.0,2.0,2021-08,S02001847,2,2,2,2,8.0
3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,30.0,30.0,0.0,2.0,2021-09,S02001847,2,2,2,2,8.0
4,0.032258064516129,0.064516129032258,0.0,0.0,,,,,,,1.0,2.0,31.0,31.0,1.0,2.0,2021-10,S02001847,4,3,3,3,8.0
5,0.1777777777777777,0.5333333333333333,1.3333333333333333,4.0,4.0,13.0,97.75,286.0,24.4375,35.0,5.333333333333333,16.0,24.666666666666668,30.0,1.0,3.0,2021-11,S02001847,2,2,2,2,8.0
6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,28.666666666666668,31.0,0.0,3.0,2021-12,S02001847,2,2,2,2,8.0
7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,31.0,31.0,0.0,3.0,2022-01,S02001847,1,1,1,1,8.0
8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,28.0,28.0,0.0,3.0,2022-02,S02001847,1,1,1,1,8.0
9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,31.0,31.0,0.0,3.0,2022-03,S02001847,1,1,1,1,8.0
10,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,30.0,30.0,0.0,3.0,2022-04,S02001847,1,1,1,1,8.0
